	!START!	id	entero	flotante	caracter	leer	imp	si	then	finsi	sino	,	;	+	-	=	>	<	>=	<=	==	++	--	*	/	(	)	{	}	para	finpara	finasigna	!END!	FinProg	P	Tipo	V	A	E	T	F	INIC	SENT	FOR	IF	ELSE	CONDICION1	CONDICION2	SIGNOS	SM
I0	I2																																									I1								
I1																																		P0																
I2			I6	I7	I8																							I5							I3	I4														
I3																																	I16																	
I4		I17																														I88																		
I5		I9					I11	I14																						I15								I18					I10	I13	I12					
I6		P4																																																
I7		P5																																																
I8		P6																																																
I9																I19																																		
I10		I9					I11	I14																						I15		I88						I20					I10	I13	I12					
I11		I21																																																
I12										P21	P21																		P21		P21	P21																		
I13										P22	P22																		P22		P22	P22																		
I14																										I22																								
I15																										I23																								
I16																																		P1																
I17												I25	I26																								I24													
I18																													I27																					
I19		I32				I33																					I31												I28	I29	I30									
I20										P11	P11																		P11		P11	P11																		
I21													I34																																					
I22		I36																																													I35			
I23			I6	I7	I8																															I38												I37		
I24																																	P2																	
I25		I39																																																
I26			I6	I7	I8																							I5							I40	I4														
I27																																	P3																	
I28													I41	I42	I43																																			
I29													P15	P15	P15									I44	I45		P15																							
I30													P18	P18	P18									P18	P18		P18																							
I31		I32																								I31													I46	I29	I30									
I32													P20	P20	P20									P20	P20		P20																							
I33													I47																																					
I34		I9					I11	I14																						I15		I88						I89					I10	i13	i12					
I35																											I48																							
I36																	I50	I51	I52	I53	I54																												I49	
I37																											I55																							
I38		I56																																																
I39												I25	I26																								I57													
I40																																	P8																	
I41		I9					I11	I14																						I15		I88						I58					I10	I13	I12					
I42		I32																								I31														I59	I30									
I43		I32																								I31														I60	I30									
I44		I32																								I31															I61									
I45		I32																								I31															I62									
I46														I42	I43												I63																							
I47		I9					I11	I14																						I15		I88						I64					I10	I13	I12					
I48									I65																																									
I49		I66																																																
I50		P28																																																
I51		P29																																																
I52		P30																																																
I53		P31																																																
I54		P32																																																
I55		I9					I11	I14																						I15		I88						I67					I10	I13	I12					
I56																I68																																		
I57																																	P7																	
I58										P9	P9																		P9		P9	P9																		
I59													P13	P13	P13												P13																							
I60													P14	P14	P14												P14																							
I61													P16	P16	P16									P16	P16		P16																							
I62													P17	P17	P17									P17	P17		P17																							
I63													P19	P19	P19									P19	P19		P19																							
I64										P10	P10																		P10		P10	P10																		
I65		I9					I11	I14																						I15		I88						I69					I10	I13	I12					
I66													P27														P27																							
I67																															I70																			
I68		I71																																																
I69										I73	I74																																			I72				
I70										P26	P26																		P26		P26	P26																		
I71													I75																																					
I72										P23	P23																		P23		P23	P23																		
I73										p24	P24																		P24		P24	P24																		
I74		I9					I11	I14																						I15		I88						I76					I10	I13	I12					
I75		I36																																													I77			
I76										I78																																								
I77													I79																																					
I78										P25	P25																		P25	P25		P25																		
I79		I80																																																
I80														I84	I85							I82	I83																											I81
I81																											P33																							
I82																											P34																							
I83																											P35																							
I84		I86																																																
I85		I87																																																
I86																											P36																							
I87																											P37																							
I88										P38	P38																		P38		P38	P38																		
I89										P12	P12																		P12		P12	P12																		
